"gene_id","logP"
"isogroup112920_c0_g1",1.31991873916368
"isogroup112944_c0_g1",2.2686885012473
"isogroup112953_c0_g1",0.794187202238714
"isogroup112980_c0_g1",0.0885685921129456
"isogroup112983_c0_g1",-0.348059417851791
"isogroup11298_c0_g1",-0.0110330095830885
"isogroup113007_c0_g1",0
"isogroup113009_c0_g1",0
"isogroup113037_c0_g1",-1.66418803116795
"isogroup113051_c0_g1",-0.508364405914872
"isogroup113080_c0_g1",0
"isogroup11308_c0_g1",-0.636433927286386
"isogroup11310_c0_g1",2.74864950021341
"isogroup11313_c0_g1",1.30742052060379
"isogroup113170_c0_g1",-3.42856851255886
"isogroup113174_c0_g1",1.491923303254
"isogroup113175_c0_g1",-0.592432496104551
"isogroup113176_c0_g1",1.62487076247231
"isogroup113182_c0_g1",0
"isogroup113185_c0_g1",0
"isogroup11319_c0_g1",0
"isogroup113204_c0_g1",0
"isogroup113209_c0_g1",-1.16495056686804
"isogroup11320_c0_g1",0.101985741788323
"isogroup113214_c0_g1",0.162085092639752
"isogroup11323_c0_g1",-0.245434578664146
"isogroup113243_c0_g1",-0.718741326810385
"isogroup113250_c0_g1",-1.36131707639593
"isogroup113253_c0_g1",-0.524793230744014
"isogroup113266_c0_g1",-0.0831640274187161
"isogroup113287_c0_g1",0.311773899206597
"isogroup113288_c0_g1",NA
"isogroup113295_c0_g1",0
"isogroup113314_c0_g1",0
"isogroup113316_c0_g1",-0.499410182038288
"isogroup113317_c0_g1",0
"isogroup113331_c0_g1",-1.30275782202655
"isogroup113353_c0_g1",1.87061200787317
"isogroup113411_c0_g1",-0.0110330095830885
"isogroup11344_c0_g1",NA
"isogroup113464_c0_g1",-0.349332166095521
"isogroup113482_c0_g1",1.42291416283298
"isogroup113498_c0_g1",-0.607642244232841
"isogroup113505_c0_g1",NA
"isogroup113516_c0_g1",0
"isogroup11352_c0_g1",-0.743101836080406
"isogroup113535_c0_g1",0
"isogroup113594_c0_g1",0.263619014300288
"isogroup113606_c0_g1",-2.48670360824397
"isogroup113619_c0_g1",-0.973502118111407
"isogroup113657_c0_g1",-0.0125455347141025
"isogroup11366_c0_g1",NA
"isogroup113675_c0_g1",0
"isogroup11367_c0_g1",-0.0110330095830886
"isogroup113687_c0_g1",0.159204586878627
"isogroup113688_c0_g1",NA
"isogroup113689_c0_g1",0
"isogroup113695_c0_g1",-0.68246936725793
"isogroup113696_c0_g1",-1.20829609208495
"isogroup113717_c0_g1",0
"isogroup113718_c0_g1",0
"isogroup113749_c0_g1",NA
"isogroup113757_c0_g1",-2.37794268969506
"isogroup113760_c0_g1",0
"isogroup113779_c0_g1",0
"isogroup113789_c0_g1",-1.77003315552365
"isogroup11378_c0_g1",2.19109724744336
"isogroup113809_c0_g1",3.97295185540074
"isogroup113830_c0_g1",-0.381522467807298
"isogroup113837_c0_g1",0
"isogroup113852_c0_g1",0.0940123161902669
"isogroup113856_c0_g1",-0.29028548080413
"isogroup113859_c0_g1",2.46498465765088
"isogroup113861_c0_g1",1.07358318970921
"isogroup113881_c0_g1",0
"isogroup113889_c0_g1",-0.3248403060682
"isogroup113899_c0_g1",1.86770638375962
"isogroup11390_c0_g1",0.0689661169213428
"isogroup113948_c0_g1",0.197081121030729
"isogroup113957_c0_g1",0
"isogroup113965_c0_g1",0.4249347031314
"isogroup113981_c0_g1",2.73347660261684
"isogroup11398_c0_g1",NA
"isogroup113998_c0_g1",0.145285884339463
"isogroup11399_c0_g1",0.175215902119441
"isogroup114009_c0_g1",0.9819179416349
"isogroup11402_c0_g1",-0.511924777004636
"isogroup114031_c0_g1",0.29545788799702
"isogroup114035_c0_g1",0.442288413264248
